,height
1271,136.8
1272,137.6
1273,124.5
1274,138.1
1275,129.7
1276,143.9
1277,138.5
1278,135.8
1279,135.8
1280,135.8
1281,140.3
1282,136.3
1283,133.4
1284,142.9
1285,140.5
1286,136.4
1287,137.4
1288,133.8
1289,137.3
1290,145.0
1291,144.5
1292,141.3
1293,148.2
1294,143.8
1295,139.7
1296,140.4
1297,137.6
1298,146.2
1299,139.3
1300,142.6
1301,147.5
1302,146.4
1303,153.2
1304,143.5
1305,141.4
1306,158.1
1307,140.2
1308,140.2
1309,140.4
1310,152.2
1311,153.2
1312,150.6
1313,156.6
1314,142.5
1315,138.9
1316,154.6
1317,152.6
1318,150.5
1319,156.2
1320,151.9
1321,146.5
1322,132.0
1323,169.9
1324,161.6
1325,148.2
1326,142.2
1327,142.2
1328,150.6
1329,147.2
1330,148.5
1331,145.9
1332,156.9
1333,155.9
1334,146.2
1335,149.6
1336,151.2
1337,153.5
1338,145.6
1339,156.4
1340,157.1
1341,147.6
1342,155.5
1343,151.2
1344,160.0
1345,152.5
1346,153.3
1347,126.3
1348,130.2
1349,116.5
1350,122.0
1351,128.9
1352,120.3
1353,114.7
1354,121.0
1355,124.4
1356,120.2
1357,118.1
1358,128.4
1359,132.7
1360,120.5
1361,117.0
1362,121.6
1363,127.1
1364,123.0
1365,122.0
1366,115.5
1367,115.1
1368,124.2
1369,114.7
1370,121.5
1371,125.0
1372,123.5
1373,120.4
1374,139.8
1375,123.1
1376,132.2
1377,138.1
1378,128.5
1379,121.4
1380,130.4
1381,123.7
1382,130.6
1383,130.2
1384,130.3
1385,132.8
1386,124.0
1387,128.5
1388,138.5
1389,134.7
1390,116.9
1391,130.8
1392,128.3
1393,132.7
1394,123.0
1395,129.2
1396,136.0
1397,120.3
1398,135.5
1399,136.4
1400,133.2
1401,124.9
1402,135.6
1403,136.3
1404,131.9
1405,136.1
1406,140.9
1407,130.3
1408,132.1
1409,130.6
1410,135.8
1411,133.7
1412,143.8
1413,132.2
1414,133.2
1415,138.7
1416,124.9
1417,145.7
1418,132.7
1419,139.5
1420,123.8
1421,133.2
1422,147.3
1423,139.6
1424,144.5
1425,140.2
1426,145.5
1427,133.5
1428,137.9
1429,141.7
1430,142.4
1431,146.6
1432,131.7
1433,134.7
1434,143.7
1435,136.8
1436,139.6
1437,135.8
1438,131.9
1439,141.5
1440,131.9
1441,141.1
1442,145.7
1443,137.6
1444,140.8
1445,142.2
1446,135.0
1447,136.0
1448,146.0
1449,140.0
1450,141.7
1451,146.0
1452,139.1
1453,148.8
1454,148.1
1455,157.3
1456,147.0
1457,146.4
1458,153.0
1459,140.9
1460,141.4
1461,154.0
1462,143.8
1463,143.4
1464,138.2
1465,145.1
1466,137.3
1467,145.3
1468,148.2
1469,138.7
1470,128.1
1471,161.5
1472,149.0
1473,149.0
1474,150.0
1475,154.5
1476,157.0
1477,160.7
1478,166.5
1479,150.0
1480,155.0
1481,147.5
1482,152.0
1483,148.0
1484,158.5
1485,151.5
1486,154.5
1487,150.5
1488,153.0
1489,152.0
1490,160.0
1491,153.0
1492,157.0
1493,147.0
1494,144.0
1495,148.0
1496,154.0
1497,121.5
1498,119.8
1499,131.1
1500,119.5
1501,131.6
1502,126.3
1503,116.3
1504,125.0
1505,116.0
1506,119.9
