,height
1095,137.8
1096,148.9
1097,145.6
1098,142.8
1099,151.5
1100,145.4
1101,134.5
1102,139.3
1103,141.0
1104,139.9
1105,159.8
1106,141.7
1107,160.5
1108,146.8
1109,152.0
1110,153.0
1111,149.4
1112,146.6
1113,160.5
1114,152.0
1115,159.5
1116,146.1
1117,157.1
1118,152.9
1119,149.6
1120,141.9
1121,143.0
1122,126.6
1123,125.6
1124,123.8
1125,116.4
1126,120.9
1127,112.0
1128,118.3
1129,119.9
1130,127.7
1131,119.6
1132,121.3
1133,124.5
1134,124.5
1135,117.4
1136,107.8
1137,126.4
1138,123.0
1139,129.0
1140,115.8
1141,124.7
1142,122.9
1143,116.0
1144,118.2
1145,121.0
1146,121.8
1147,127.0
1148,124.9
1149,126.7
1150,128.0
1151,159.0
1152,121.5
1153,130.4
1154,121.5
1155,122.7
1156,134.6
1157,127.5
1158,127.0
1159,127.5
1160,122.8
1161,126.0
1162,122.3
1163,123.3
1164,132.7
1165,128.2
1166,120.5
1167,130.9
1168,128.1
1169,128.4
1170,126.7
1171,130.1
1172,133.7
1173,138.0
1174,134.2
1175,127.1
1176,141.5
1177,129.1
1178,138.5
1179,137.2
1180,138.7
1181,137.3
1182,141.0
1183,126.8
1184,133.7
1185,131.5
1186,127.4
1187,136.8
1188,127.6
1189,133.9
1190,130.8
1191,141.5
1192,140.4
1193,142.9
1194,145.0
1195,135.5
1196,134.3
1197,134.7
1198,138.1
1199,148.9
1200,141.6
1201,138.4
1202,145.9
1203,139.7
1204,129.1
1205,143.6
1206,146.3
1207,133.2
1208,138.5
1209,133.6
1210,135.0
1211,132.7
1212,133.6
1213,137.9
1214,144.0
1215,154.9
1216,139.8
1217,145.9
1218,133.3
1219,148.6
1220,143.9
1221,137.8
1222,162.0
1223,136.1
1224,148.9
1225,155.1
1226,152.9
1227,135.1
1228,136.1
1229,145.9
1230,142.4
1231,150.3
1232,157.2
1233,157.6
1234,146.4
1235,135.0
1236,151.4
1237,151.1
1238,155.6
1239,144.2
1240,166.0
1241,151.7
1242,151.1
1243,155.1
1244,162.7
1245,153.9
1246,147.9
1247,144.2
1248,159.9
1249,148.9
1250,145.0
1251,149.6
1252,148.9
1253,136.8
1254,155.0
1255,153.1
1256,161.0
1257,149.5
1258,140.2
1259,153.8
1260,119.4
1261,126.6
1262,117.8
1263,126.4
1264,122.6
1265,127.9
1266,125.3
1267,123.8
1268,113.3
1269,122.2
1270,121.5
1271,116.5
1272,118.5
1273,115.2
1274,108.3
1275,113.7
1276,112.5
1277,125.5
1278,129.6
1279,120.4
1280,127.5
1281,123.0
1282,140.2
1283,120.6
1284,123.4
1285,123.4
1286,129.0
1287,125.2
1288,120.5
1289,124.9
1290,132.0
1291,126.5
1292,123.9
1293,126.6
1294,136.7
1295,125.1
1296,126.1
1297,127.5
1298,120.0
1299,128.1
1300,127.2
1301,138.2
1302,123.2
1303,136.7
1304,141.5
1305,135.6
1306,129.3
1307,137.3
1308,122.3
1309,139.6
1310,130.2
1311,125.8
1312,131.5
1313,129.3
1314,147.5
1315,134.5
1316,131.6
1317,137.3
1318,134.5
1319,141.4
1320,141.6
1321,142.0
1322,136.9
1323,137.5
1324,137.7
1325,144.5
1326,146.7
1327,141.9
1328,132.2
1329,135.9
1330,138.4
1331,135.3
1332,136.6
1333,141.4
1334,132.6
1335,137.5
1336,139.6
1337,137.2
1338,135.7
1339,142.5
1340,145.1
1341,149.7
1342,135.6
1343,152.8
1344,137.1
1345,138.4
1346,145.5
1347,146.1
1348,145.3
1349,148.6
1350,151.0
1351,155.7
1352,143.1
1353,145.2
1354,143.8
1355,135.9
1356,150.9
1357,149.1
1358,150.5
1359,167.6
1360,151.3
1361,154.5
1362,149.0
1363,148.6
1364,145.2
1365,151.9
1366,152.1
1367,148.7
1368,159.4
1369,156.0
1370,156.0
1371,153.5
1372,143.7
1373,147.6
1374,152.0
1375,156.5
1376,163.0
1377,150.2
1378,149.2
1379,146.2
1380,150.9
1381,153.1
1382,152.0
1383,114.6
1384,121.2
1385,122.0
1386,130.7
1387,126.5
1388,126.9
1389,119.2
1390,125.0
1391,116.4
1392,121.3
1393,126.1
1394,125.2
1395,124.2
1396,125.0
1397,116.8
1398,119.8
1399,125.8
1400,120.6
1401,120.0
1402,118.5
1403,122.5
1404,126.3
1405,127.3
1406,120.0
1407,132.3
1408,119.0
1409,123.0
1410,129.6
1411,122.0
1412,143.4
1413,121.0
1414,126.6
1415,124.1
1416,130.4
1417,127.3
1418,122.0
1419,122.4
1420,126.9
1421,135.2
1422,126.0
1423,132.8
1424,130.9
1425,131.0
1426,142.9
1427,142.2
1428,126.9
1429,133.1
1430,135.7
1431,125.2
1432,122.6
1433,141.6
1434,127.9
1435,133.8
1436,135.5
1437,135.0
1438,128.0
1439,130.1
1440,131.7
1441,131.4
1442,123.4
1443,128.1
1444,135.7
1445,132.6
1446,139.6
1447,137.0
1448,128.8
1449,148.5
1450,139.3
1451,143.0
1452,133.0
1453,123.2
1454,138.7
1455,131.3
1456,142.2
1457,139.9
1458,131.5
1459,136.0
1460,133.5
1461,137.2
1462,144.2
1463,139.4
1464,135.0
1465,134.0
1466,143.0
1467,147.0
1468,141.1
1469,145.1
1470,137.5
1471,156.6
1472,141.2
1473,145.8
1474,135.7
1475,141.4
1476,167.4
1477,142.9
1478,143.5
1479,144.8
1480,143.7
1481,156.8
1482,153.0
1483,153.3
1484,139.0
1485,139.9
1486,142.9
1487,153.4
1488,147.0
1489,143.4
1490,162.9
1491,147.9
1492,142.2
1493,145.5
1494,157.6
1495,162.2
1496,154.4
1497,146.7
1498,155.3
1499,142.5
1500,151.2
1501,150.0
1502,150.9
1503,156.1
1504,148.0
1505,157.0
1506,120.0
1507,119.0
1508,113.0
1509,117.0
1510,111.5
1511,118.6
1512,124.2
1513,128.0
1514,119.0
1515,118.0
1516,123.1
1517,119.5
1518,122.0
1519,117.0
1520,124.0
1521,130.0
1522,120.8
1523,125.2
1524,121.0
1525,124.0
1526,128.6
1527,130.0
1528,122.0
1529,120.0
1530,126.5
1531,125.9
1532,130.2
1533,132.8
1534,133.5
1535,135.1
1536,130.7
1537,117.8
1538,135.3
1539,131.8
1540,124.4
1541,131.1
1542,125.8
1543,120.3
1544,124.8
1545,128.7
1546,126.7
1547,130.7
1548,128.2
1549,116.0
1550,133.7
1551,130.3
1552,125.9
1553,128.5
1554,130.0
1555,121.9
1556,137.9
1557,130.2
1558,138.0
1559,129.3
1560,138.7
1561,133.5
1562,138.5
1563,128.1
1564,132.2
1565,131.3
1566,125.3
1567,131.8
1568,135.6
1569,129.6
1570,142.5
1571,136.1
1572,132.8
1573,135.7
1574,143.5
1575,136.1
1576,137.0
1577,139.3
1578,150.0
1579,144.9
1580,142.3
1581,134.2
1582,143.3
1583,141.3
1584,143.2
1585,141.6
1586,144.5
1587,143.0
1588,144.0
1589,137.0
1590,130.8
1591,134.0
1592,146.1
1593,146.6
1594,133.0
1595,129.0
1596,141.1
1597,143.7
1598,144.0
1599,127.0
1600,146.8
1601,146.2
1602,144.0
1603,152.9
1604,145.4
1605,139.8
1606,154.5
1607,143.3
1608,151.0
1609,148.5
1610,138.5
1611,137.0
1612,149.3
1613,146.7
1614,140.7
1615,157.3
1616,140.6
1617,157.1
1618,141.9
1619,144.4
1620,148.0
1621,143.8
1622,157.6
1623,139.4
1624,143.6
1625,142.7
1626,164.0
1627,152.7
1628,152.6
1629,156.4
1630,143.4
1631,157.5
1632,153.2
1633,147.7
1634,147.8
1635,155.8
1636,157.0
1637,148.0
1638,144.2
1639,150.0
1640,146.9
1641,160.4
1642,155.4
1643,155.0
1644,156.0
1645,153.6
1646,160.2
1647,148.2
1648,160.6
1649,161.6
1650,154.0
1651,116.4
1652,122.7
1653,120.7
1654,124.1
1655,109.5
1656,116.9
1657,115.7
1658,123.0
1659,119.6
1660,114.4
1661,123.1
1662,115.0
1663,126.9
1664,119.3
1665,122.4
1666,118.1
1667,120.1
1668,124.2
1669,105.2
1670,122.8
1671,125.3
1672,121.4
1673,130.2
1674,113.8
1675,135.0
1676,125.0
1677,136.0
1678,123.2
1679,139.6
1680,131.2
1681,133.2
1682,121.0
1683,131.0
1684,126.8
1685,131.8
1686,130.3
1687,121.7
1688,122.8
1689,126.5
1690,125.2
1691,133.5
1692,135.7
1693,123.5
1694,123.0
1695,134.6
1696,121.6
1697,130.9
1698,129.9
1699,126.0
1700,135.3
1701,140.7
1702,153.0
1703,133.6
1704,131.8
1705,128.3
1706,141.0
1707,137.9
1708,133.0
1709,142.9
1710,132.0
1711,132.4
1712,145.5
1713,131.6
1714,132.9
1715,133.0
1716,127.0
1717,127.7
1718,144.7
1719,138.0
1720,123.9
1721,125.0
1722,142.6
1723,136.2
1724,124.1
1725,130.6
1726,140.3
1727,127.3
1728,131.2
1729,143.4
1730,127.8
1731,137.9
1732,138.5
1733,143.6
1734,132.2
1735,125.7
1736,138.3
1737,137.4
1738,133.1
1739,135.8
1740,138.0
1741,155.6
1742,139.6
1743,147.7
1744,136.8
1745,144.2
1746,145.0
1747,126.4
1748,131.6
1749,143.3
1750,143.3
1751,151.8
1752,153.9
1753,139.3
1754,152.1
1755,145.8
1756,144.5
1757,157.9
1758,150.3
1759,138.3
1760,149.8
1761,151.1
1762,143.2
1763,142.4
1764,142.5
1765,137.1
1766,156.7
1767,145.3
1768,139.7
1769,148.9
1770,151.0
1771,150.0
1772,143.8
1773,140.6
1774,136.2
1775,145.3
1776,139.3
1777,160.0
1778,155.0
1779,154.3
1780,146.0
1781,147.9
1782,158.7
1783,149.4
1784,151.0
1785,143.6
1786,142.5
1787,135.5
1788,158.2
1789,150.7
1790,157.8
1791,156.2
1792,155.1
1793,161.4
1794,159.8
1795,146.6
1796,153.2
1797,149.2
1798,139.7
1799,158.6
1800,118.0
1801,128.0
1802,125.0
1803,121.1
1804,118.1
1805,127.0
1806,116.1
1807,129.1
1808,130.0
1809,127.0
1810,124.3
1811,131.0
1812,111.2
1813,124.0
1814,124.0
1815,125.3
1816,117.0
1817,125.2
1818,121.0
1819,114.1
1820,124.7
1821,125.0
1822,123.0
1823,123.0
1824,132.3
1825,140.5
1826,126.9
1827,131.1
1828,127.6
1829,125.4
1830,127.6
1831,116.3
1832,125.5
1833,126.1
1834,128.7
1835,128.5
1836,131.7
1837,132.2
1838,127.8
1839,125.0
